Year,Month,DayofMonth,DayOfWeek,DepTime,CRSDepTime,ArrTime,CRSArrTime,UniqueCarrier,FlightNum,TailNum,ActualElapsedTime,CRSElapsedTime,AirTime,ArrDelay,DepDelay,Origin,Dest,Distance,TaxiIn,TaxiOut,Cancelled,CancellationCode,Diverted,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay
2005,1,28,5,1603,1605,1741,1759,UA,541,N935UA,158,174,131,-18,-2,BOS,ORD,867,4,23,0,,0,0,0,0,0,0
2005,1,29,6,1559,1605,1736,1759,UA,541,N941UA,157,174,136,-23,-6,BOS,ORD,867,6,15,0,,0,0,0,0,0,0
2005,1,30,7,1603,1610,1741,1805,UA,541,N342UA,158,175,131,-24,-7,BOS,ORD,867,9,18,0,,0,0,0,0,0,0
2005,1,31,1,1556,1605,1726,1759,UA,541,N326UA,150,174,129,-33,-9,BOS,ORD,867,11,10,0,,0,0,0,0,0,0
2005,1,2,7,1934,1900,2235,2232,UA,542,N902UA,121,152,106,3,34,ORD,BOS,867,5,10,0,,0,0,0,0,0,0
2005,1,3,1,2042,1900,9,2232,UA,542,N904UA,147,152,97,97,102,ORD,BOS,867,3,47,0,,0,23,0,0,0,74
2005,1,4,2,2046,1900,2357,2232,UA,542,N942UA,131,152,100,85,106,ORD,BOS,867,5,26,0,,0,46,0,0,0,39
2005,1,5,3,NA,1900,NA,2232,UA,542,0,NA,152,NA,NA,NA,ORD,BOS,867,0,0,1,B,0,0,0,0,0,0
2005,1,6,4,2110,1900,8,2223,UA,542,N920UA,118,143,101,105,130,ORD,BOS,867,2,15,0,,0,16,0,0,0,89
2005,1,7,5,1859,1900,2235,2223,UA,542,N340UA,156,143,96,12,-1,ORD,BOS,867,4,56,0,,0,0,0,0,0,0
2005,1,9,7,1859,1900,2205,2223,UA,542,N929UA,126,143,106,-18,-1,ORD,BOS,867,5,15,0,,0,0,0,0,0,0
2005,1,10,1,1917,1900,2240,2223,UA,542,N934UA,143,143,116,17,17,ORD,BOS,867,3,24,0,,0,17,0,0,0,0
2005,1,11,2,1935,1900,2259,2223,UA,542,N336UA,144,143,106,36,35,ORD,BOS,867,6,32,0,,0,0,0,1,0,35
2005,1,12,3,2038,1900,18,2223,UA,542,N920UA,160,143,111,115,98,ORD,BOS,867,6,43,0,,0,18,0,17,0,80
2005,1,13,4,2106,1900,9,2223,UA,542,N923UA,123,143,106,106,126,ORD,BOS,867,6,11,0,,0,13,0,0,0,93
2005,1,14,5,1919,1900,2228,2223,UA,542,N917UA,129,143,100,5,19,ORD,BOS,867,9,20,0,,0,0,0,0,0,0
2005,1,16,7,1911,1900,NA,2223,UA,542,N348UA,NA,143,NA,NA,11,ORD,BOS,867,0,13,0,,1,0,0,0,0,0
